"","Date","Recorder","Site","Block","Group","Plot","Quadrant","Species..Nell.","Species","Cover","Notes","what3words","X"
"21","2022-06-28","Nell Pates","Knepp","S","X","222",2,"Purple / blue / white","Myosotis_arvensis",1,"","apparatus.appraised.commoners",0
"22","2022-06-28","Nell Pates","Knepp","S","X","222",3,"Fleabane","Pulicaria_dysenterica",3,"","apparatus.appraised.commoners",0
"23","2022-06-28","Nell Pates","Knepp","S","X","222",3,"White clover","Trifolium_repens",20,"","apparatus.appraised.commoners",0
"24","2022-06-28","Nell Pates","Knepp","S","X","222",3,"Holcus lanatus","Holcus_lanatus",95,"","apparatus.appraised.commoners",0
"26","2022-06-28","Nell Pates","Knepp","S","X","222",3,"Tiny branching = lesser stitchwort?","Stellaria_graminea",1,"","apparatus.appraised.commoners",0
"27","2022-06-28","Nell Pates","Knepp","S","X","222",3,"Tiny purple vetch","Vicia_sativa",1,"","apparatus.appraised.commoners",0
"30","2022-06-28","Nell Pates","Knepp","S","X","222",3,"Dandelion","Taraxacum_officinale_agg",1,"","apparatus.appraised.commoners",0
"31","2022-06-28","Nell Pates","Knepp","S","X","222",4,"Fleabane","Pulicaria_dysenterica",8,"","apparatus.appraised.commoners",0
"32","2022-06-28","Nell Pates","Knepp","S","X","222",4,"Ragwort","Senecio_jacobaea",13,"","apparatus.appraised.commoners",0
"33","2022-06-28","Nell Pates","Knepp","S","X","222",4,"White clover","Trifolium_repens",20,"","apparatus.appraised.commoners",0
"34","2022-06-28","Nell Pates","Knepp","S","X","222",4,"Holcus lanatus","Holcus_lanatus",90,"","apparatus.appraised.commoners",0
"35","2022-06-28","Nell Pates","Knepp","S","X","222",4,"Bramble","Rubus_fruticosus",1,"","apparatus.appraised.commoners",0
"38","2022-06-28","Nell Pates","Knepp","S","X","222",4,"Square stem, fluffy leaves","Cerastium_fontanum",1,"","apparatus.appraised.commoners",0
"39","2022-06-28","Nell Pates","Knepp","S","X","122",1,"Holcus lanatus","Holcus_lanatus",98,"","staked.tonality.bronzer",0
"40","2022-06-28","Nell Pates","Knepp","S","X","122",1,"Ragwort","Senecio_jacobaea",1,"","staked.tonality.bronzer",0
"41","2022-06-28","Nell Pates","Knepp","S","X","122",1,"White clover","Trifolium_repens",10,"","staked.tonality.bronzer",0
"42","2022-06-28","Nell Pates","Knepp","S","X","122",1,"Thistle","Cirsium_arvense",4,"","staked.tonality.bronzer",0
"43","2022-06-28","Nell Pates","Knepp","S","X","122",1,"Buttercup","Ranunculus_repens",1,"","staked.tonality.bronzer",0
"44","2022-06-28","Nell Pates","Knepp","S","X","122",1,"Tiny white","Stellaria_graminea",2,"","staked.tonality.bronzer",0
"45","2022-06-28","Nell Pates","Knepp","S","X","122",1,"Round leaves","Rumex_acetosa",1,"","staked.tonality.bronzer",0
"46","2022-06-28","Nell Pates","Knepp","S","X","122",1,"Wrinkled leaves","Senecio_jacobaea",2,"","staked.tonality.bronzer",0
"49","2022-06-28","Nell Pates","Knepp","S","X","122",2,"Holcus lanatus","Holcus_lanatus",95,"","staked.tonality.bronzer",0
"50","2022-06-28","Nell Pates","Knepp","S","X","122",2,"Ragwort","Senecio_jacobaea",15,"","staked.tonality.bronzer",0
"51","2022-06-28","Nell Pates","Knepp","S","X","122",2,"White clover","Trifolium_repens",10,"","staked.tonality.bronzer",0
"52","2022-06-28","Nell Pates","Knepp","S","X","122",2,"Tiny white","Stellaria_graminea",5,"","staked.tonality.bronzer",0
"53","2022-06-28","Nell Pates","Knepp","S","X","122",2,"Long leaves","Rumex_crispus",2,"","staked.tonality.bronzer",0
"56","2022-06-28","Nell Pates","Knepp","S","X","122",2,"Round leaves","Rumex_acetosa",1,"","staked.tonality.bronzer",0
"57","2022-06-28","Nell Pates","Knepp","S","X","122",3,"Holcus lanatus","Holcus_lanatus",95,"","staked.tonality.bronzer",0
"58","2022-06-28","Nell Pates","Knepp","S","X","122",3,"Ragwort","Senecio_jacobaea",5,"","staked.tonality.bronzer",0
"59","2022-06-28","Nell Pates","Knepp","S","X","122",3,"Thistle","Cirsium_arvense",4,"","staked.tonality.bronzer",0
"60","2022-06-28","Nell Pates","Knepp","S","X","122",3,"Tiny white","Stellaria_graminea",10,"","staked.tonality.bronzer",0
"61","2022-06-28","Nell Pates","Knepp","S","X","122",3,"White clover","Trifolium_repens",2,"","staked.tonality.bronzer",0
"62","2022-06-28","Nell Pates","Knepp","S","X","122",3,"Buttercup - This is the three leaved thing I can’t ID","Ranunculus_repens",3,"","staked.tonality.bronzer",0
"63","2022-06-28","Nell Pates","Knepp","S","X","122",3,"Wrinkled leaves","Senecio_jacobaea",4,"","staked.tonality.bronzer",0
"64","2022-06-28","Nell Pates","Knepp","S","X","122",3,"Tiny yellow","Trifolium_dubium",1,"","staked.tonality.bronzer",0
"65","2022-06-28","Nell Pates","Knepp","S","X","122",4,"Holcus lanatus","Holcus_lanatus",95,"","staked.tonality.bronzer",0
"66","2022-06-28","Nell Pates","Knepp","S","X","122",4,"White clover","Trifolium_repens",5,"","staked.tonality.bronzer",0
"67","2022-06-28","Nell Pates","Knepp","S","X","122",4,"Thistle","Cirsium_arvense",1,"","staked.tonality.bronzer",0
"68","2022-06-28","Nell Pates","Knepp","S","X","122",4,"Wrinkled leaves","Senecio_jacobaea",1,"","staked.tonality.bronzer",0
"69","2022-06-28","Nell Pates","Knepp","S","X","122",4,"Little red leaves","Geranium_dissectum",1,"","staked.tonality.bronzer",0
"70","2022-06-28","Nell Pates","Knepp","S","X","122",4,"Tiny white","Stellaria_graminea",5,"","staked.tonality.bronzer",0
"71","2022-06-28","Nell Pates","Knepp","S","X","122",4,"Buttercup","Ranunculus_repens",4,"","staked.tonality.bronzer",0
"72","2022-06-28","Nell Pates","Knepp","S","X","122",4,"Very fluffy and spiky leaf","Cirsium_dissectum",4,"","staked.tonality.bronzer",0
"73","2022-06-28","Nell Pates","Knepp","S","X","112",1,"Fleabane","Pulicaria_dysenterica",35,"","bluffs.gold.estuaries",0
"74","2022-06-28","Nell Pates","Knepp","S","X","112",1,"Holcus lanatus","Holcus_lanatus",60,"","bluffs.gold.estuaries",0
"75","2022-06-28","Nell Pates","Knepp","S","X","112",1,"White clover","Trifolium_repens",10,"","bluffs.gold.estuaries",0
"76","2022-06-28","Nell Pates","Knepp","S","X","112",1,"Mystery plant","Senecio_erucifolius",2,"","bluffs.gold.estuaries",0
"77","2022-06-28","Nell Pates","Knepp","S","X","112",1,"Bindweed","Calystegia_sepium",2,"","bluffs.gold.estuaries",0
"78","2022-06-28","Nell Pates","Knepp","S","X","112",1,"Ragwort","Senecio_jacobaea",1,"","bluffs.gold.estuaries",0
"79","2022-06-28","Nell Pates","Knepp","S","X","112",1,"Pale green - pink shoots","Prunus_avium",3,"","bluffs.gold.estuaries",0
"80","2022-06-28","Nell Pates","Knepp","S","X","112",1,"Grass (Poa pratensis?)","Agrostis_capillaris",3,"","bluffs.gold.estuaries",0
"81","2022-06-28","Nell Pates","Knepp","S","X","112",1,"Dark leaves","Cardamine_pratensis",1,"","bluffs.gold.estuaries",0
"82","2022-06-28","Nell Pates","Knepp","S","X","112",1,"Tiny leaves, no flowers","Galium_palustre",1,"","bluffs.gold.estuaries",0
"83","2022-06-28","Nell Pates","Knepp","S","X","112",2,"Fleabane","Pulicaria_dysenterica",40,"","bluffs.gold.estuaries",0
"84","2022-06-28","Nell Pates","Knepp","S","X","112",2,"Holcus lanatus","Holcus_lanatus",50,"","bluffs.gold.estuaries",0
"85","2022-06-28","Nell Pates","Knepp","S","X","112",2,"Square stem, serrated leaves","Lycopus_europaeus",5,"","bluffs.gold.estuaries",0
"86","2022-06-28","Nell Pates","Knepp","S","X","112",2,"Buttercup","Ranunculus_repens",4,"","bluffs.gold.estuaries",0
"87","2022-06-28","Nell Pates","Knepp","S","X","112",2,"Ragwort","Senecio_jacobaea",1,"damaged","bluffs.gold.estuaries",0
"88","2022-06-28","Nell Pates","Knepp","S","X","112",2,"Grass (Poa pratensis?)","Agrostis_capillaris",2,"","bluffs.gold.estuaries",0
"89","2022-06-28","Nell Pates","Knepp","S","X","112",2,"Bindweed","Calystegia_sepium",1,"","bluffs.gold.estuaries",0
"90","2022-06-28","Nell Pates","Knepp","S","X","112",3,"Fleabane","Pulicaria_dysenterica",35,"","bluffs.gold.estuaries",0
"91","2022-06-28","Nell Pates","Knepp","S","X","112",3,"Holcus lanatus","Holcus_lanatus",35,"","bluffs.gold.estuaries",0
"92","2022-06-28","Nell Pates","Knepp","S","X","112",3,"White clover","Trifolium_repens",30,"","bluffs.gold.estuaries",0
"93","2022-06-28","Nell Pates","Knepp","S","X","112",3,"Square stem, serrated leaves","Lycopus_europaeus",2,"","bluffs.gold.estuaries",0
"97","2022-06-28","Nell Pates","Knepp","S","X","112",3,"Bindweed","Calystegia_sp",2,"","bluffs.gold.estuaries",0
"98","2022-06-28","Nell Pates","Knepp","S","X","112",3,"Buttercup","Ranunculus_repens",1,"","bluffs.gold.estuaries",0
"99","2022-06-28","Nell Pates","Knepp","S","X","112",3,"Mystery alternate plant","Senecio_erucifolius",1,"","bluffs.gold.estuaries",0
"100","2022-06-28","Nell Pates","Knepp","S","X","112",4,"Fleabane","Pulicaria_dysenterica",40,"","bluffs.gold.estuaries",0
"101","2022-06-28","Nell Pates","Knepp","S","X","112",4,"Holcus lanatus","Holcus_lanatus",70,"","bluffs.gold.estuaries",0
"102","2022-06-28","Nell Pates","Knepp","S","X","112",4,"Mystery alternate plant","Senecio_erucifolius",2,"damaged","bluffs.gold.estuaries",0
"103","2022-06-28","Nell Pates","Knepp","S","X","112",4,"Bindweed","Calystegia_sp",2,"","bluffs.gold.estuaries",0
"104","2022-06-28","Nell Pates","Knepp","S","X","112",4,"Buttercup - This is the three leaved thing I can’t ID","Ranunculus_repens",5,"","bluffs.gold.estuaries",0
"105","2022-06-28","Nell Pates","Knepp","S","X","112",4,"Grass (Poa pratensis?)","Agrostis_capillaris",2,"","bluffs.gold.estuaries",0
"106","2022-06-28","Nell Pates","Knepp","S","X","112",4,"Square stem, serrated leaves","Lycopus_europaeus",1,"","bluffs.gold.estuaries",0
"107","2022-06-28","Nell Pates","Knepp","S","X","112",4,"Pink dangly","Lathyrus_nissolia",1,"","bluffs.gold.estuaries",0
"108","2022-06-28","Nell Pates","Knepp","S","X","112",4,"Rumex sp?","Rumex_sp",1,"","bluffs.gold.estuaries",0
"109","2022-06-28","Nell Pates","Knepp","S","X","111",1,"Fleabane","Pulicaria_dysenterica",70,"","increment.consumed.label",0
"110","2022-06-28","Nell Pates","Knepp","S","X","111",1,"Holcus lanatus","Holcus_lanatus",30,"","increment.consumed.label",0
"111","2022-06-28","Nell Pates","Knepp","S","X","111",1,"senesced Holcus lanatus","Holcus_lanatus",20,"","increment.consumed.label",0
"112","2022-06-28","Nell Pates","Knepp","S","X","111",1,"Tiny white","Stellaria_graminea",8,"","increment.consumed.label",0
"113","2022-06-28","Nell Pates","Knepp","S","X","111",1,"White clover","Trifolium_repens",2,"","increment.consumed.label",0
"114","2022-06-28","Nell Pates","Knepp","S","X","111",1,"Grass - festuca rubra?","Agrostis_stolonifera",3,"","increment.consumed.label",0
"115","2022-06-28","Nell Pates","Knepp","S","X","111",2,"Fleabane","Pulicaria_dysenterica",65,"","increment.consumed.label",0
"116","2022-06-28","Nell Pates","Knepp","S","X","111",2,"Holcus lanatus","Holcus_lanatus",30,"","increment.consumed.label",0
"117","2022-06-28","Nell Pates","Knepp","S","X","111",2,"senesced Holcus lanatus","Holcus_lanatus",15,"","increment.consumed.label",0
"118","2022-06-28","Nell Pates","Knepp","S","X","111",2,"Tiny white","Stellaria_graminea",6,"","increment.consumed.label",0
"119","2022-06-28","Nell Pates","Knepp","S","X","111",2,"Buttercup - This is the three leaved thing I can’t ID","Ranunculus_repens",3,"","increment.consumed.label",0
"120","2022-06-28","Nell Pates","Knepp","S","X","111",2,"Square stem, serrated leaves","Lycopus_europaeus",2,"","increment.consumed.label",0
"121","2022-06-28","Nell Pates","Knepp","S","X","111",2,"Grass - festuca rubra?","Agrostis_stolonifera",1,"","increment.consumed.label",0
"122","2022-06-28","Nell Pates","Knepp","S","X","111",3,"Fleabane","Pulicaria_dysenterica",40,"","increment.consumed.label",0
"123","2022-06-28","Nell Pates","Knepp","S","X","111",3,"Holcus lanatus","Holcus_lanatus",45,"","increment.consumed.label",0
"124","2022-06-28","Nell Pates","Knepp","S","X","111",3,"Grass - festuca rubra?","Agrostis_stolonifera",10,"","increment.consumed.label",0
"125","2022-06-28","Nell Pates","Knepp","S","X","111",3,"White clover","Trifolium_repens",7,"","increment.consumed.label",0
"126","2022-06-28","Nell Pates","Knepp","S","X","111",3,"Square stem, serrated leaves","Lycopus_europaeus",1,"","increment.consumed.label",0
"127","2022-06-28","Nell Pates","Knepp","S","X","111",3,"Long green - pink leaves","Rumex_crispus",2,"","increment.consumed.label",0
"128","2022-06-28","Nell Pates","Knepp","S","X","111",4,"Fleabane","Pulicaria_dysenterica",80,"","increment.consumed.label",0
"129","2022-06-28","Nell Pates","Knepp","S","X","111",4,"Holcus lanatus","Holcus_lanatus",10,"","increment.consumed.label",0
"131","2022-06-28","Nell Pates","Knepp","S","X","111",4,"senesced Holcus lanatus","Holcus_lanatus",50,"","increment.consumed.label",0
"132","2022-06-28","Nell Pates","Knepp","S","X","111",4,"Oak sapling","Quercus_robur",10,"sapling","increment.consumed.label",0
"133","2022-06-28","Nell Pates","Knepp","S","X","111",4,"Tiny white","Stellaria_graminea",2,"","increment.consumed.label",0
"134","2022-06-28","Nell Pates","Knepp","S","X","113",1,"Holcus lanatus","Holcus_lanatus",90,"","extensive.long.mixes",0
"135","2022-06-28","Nell Pates","Knepp","S","X","113",1,"Fleabane","Pulicaria_dysenterica",6,"","extensive.long.mixes",0
"136","2022-06-28","Nell Pates","Knepp","S","X","113",1,"White clover","Trifolium_repens",8,"","extensive.long.mixes",0
"137","2022-06-28","Nell Pates","Knepp","S","X","113",1,"Selfheal","Prunella_vulgaris",6,"","extensive.long.mixes",0
"138","2022-06-28","Nell Pates","Knepp","S","X","113",1,"Trampled long leaf","Rumex_obtusifolius",2,"","extensive.long.mixes",0
"139","2022-06-28","Nell Pates","Knepp","S","X","113",1,"Small shrub","Salix_x_multinervis",25,"","extensive.long.mixes",0
"140","2022-06-28","Nell Pates","Knepp","S","X","113",2,"Holcus lanatus","Holcus_lanatus",50,"","extensive.long.mixes",0
"141","2022-06-28","Nell Pates","Knepp","S","X","113",2,"Fleabane","Pulicaria_dysenterica",25,"","extensive.long.mixes",0
"142","2022-06-28","Nell Pates","Knepp","S","X","113",2,"White clover","Trifolium_repens",15,"","extensive.long.mixes",0
"143","2022-06-28","Nell Pates","Knepp","S","X","113",2,"Small shrub","Salix_x_multinervis",30,"","extensive.long.mixes",0
"144","2022-06-28","Nell Pates","Knepp","S","X","113",3,"Holcus lanatus","Holcus_lanatus",95,"","extensive.long.mixes",0
"145","2022-06-28","Nell Pates","Knepp","S","X","113",3,"Fleabane","Pulicaria_dysenterica",25,"","extensive.long.mixes",0
"146","2022-06-28","Nell Pates","Knepp","S","X","113",3,"Selfheal","Prunella_vulgaris",8,"","extensive.long.mixes",0
"147","2022-06-28","Nell Pates","Knepp","S","X","113",3,"White clover","Trifolium_repens",15,"","extensive.long.mixes",0
"148","2022-06-28","Nell Pates","Knepp","S","X","113",3,"Dog rose?","Rosa_sp",1,"","extensive.long.mixes",0
"149","2022-06-28","Nell Pates","Knepp","S","X","113",3,"shrub","Salix_x_multinervis",0,"overhang - 10","extensive.long.mixes",0
"150","2022-06-28","Nell Pates","Knepp","S","X","113",4,"Holcus lanatus","Holcus_lanatus",60,"","extensive.long.mixes",0
"151","2022-06-28","Nell Pates","Knepp","S","X","113",4,"Fleabane","Pulicaria_dysenterica",15,"","extensive.long.mixes",0
"152","2022-06-28","Nell Pates","Knepp","S","X","113",4,"White clover","Trifolium_repens",3,"","extensive.long.mixes",0
"153","2022-06-28","Nell Pates","Knepp","S","X","113",4,"shrub","Salix_x_multinervis",40,"","extensive.long.mixes",0
"154","2022-06-28","Nell Pates","Knepp","S","X","113",4,"shrub","Salix_x_multinervis",0,"overhang - 10","extensive.long.mixes",0
"155","2022-06-28","Nell Pates","Knepp","S","X","133",1,"Quercus sp","Quercus_robur",0,"overhang - 100","windmills.overhaul.collides",0
"156","2022-06-28","Nell Pates","Knepp","S","X","133",1,"senesced Cocksfoot","Dactylis_glomerata",1,"senesced","windmills.overhaul.collides",0
"157","2022-06-28","Nell Pates","Knepp","S","X","133",1,"Grass 1","Agrostis_capillaris",50,"","windmills.overhaul.collides",0
"160","2022-06-28","Nell Pates","Knepp","S","X","133",1,"senesced Timothy","Alopecurus_pratensis",1,"","windmills.overhaul.collides",0
"161","2022-06-28","Nell Pates","Knepp","S","X","133",1,"Rumex sp?","Rumex_obtusifolius",10,"","windmills.overhaul.collides",0
"162","2022-06-28","Nell Pates","Knepp","S","X","133",1,"Grass 2","Poa_trivialis",50,"","windmills.overhaul.collides",0
"163","2022-06-28","Nell Pates","Knepp","S","X","133",2,"Quercus sp","Quercus_robur",0,"overhang - 100","windmills.overhaul.collides",0
"164","2022-06-28","Nell Pates","Knepp","S","X","133",2,"Grass 1","Agrostis_capillaris",40,"","windmills.overhaul.collides",0
"165","2022-06-28","Nell Pates","Knepp","S","X","133",2,"Grass 2","Poa_trivialis",40,"","",0
"166","2022-06-28","Nell Pates","Knepp","S","X","133",2,"Rumex sp?","Rumex_obtusifolius",8,"","windmills.overhaul.collides",0
"170","2022-06-28","Nell Pates","Knepp","S","X","133",3,"Quercus sp","Quercus_robur",0,"overhang - 100","windmills.overhaul.collides",0
"171","2022-06-28","Nell Pates","Knepp","S","X","133",3,"Grass 1","Agrostis_capillaris",50,"","windmills.overhaul.collides",0
"172","2022-06-28","Nell Pates","Knepp","S","X","133",3,"Grass 2","Poa_trivialis",45,"","",0
"173","2022-06-28","Nell Pates","Knepp","S","X","133",3,"Rumex sp?","Rumex_obtusifolius",5,"","windmills.overhaul.collides",0
"177","2022-06-28","Nell Pates","Knepp","S","X","133",3,"White clover","Trifolium_repens",2,"","windmills.overhaul.collides",0
"178","2022-06-28","Nell Pates","Knepp","S","X","133",4,"Quercus sp","Quercus_robur",0,"overhang - 100","windmills.overhaul.collides",0
"179","2022-06-28","Nell Pates","Knepp","S","X","133",4,"Grass 1","Agrostis_capillaris",40,"","windmills.overhaul.collides",0
"180","2022-06-28","Nell Pates","Knepp","S","X","133",4,"Grass 2","Poa_trivialis",40,"","",0
"181","2022-06-28","Nell Pates","Knepp","S","X","133",4,"senesced Cocksfoot","Dactylis_glomerata",1,"","windmills.overhaul.collides",0
"182","2022-06-28","Nell Pates","Knepp","S","X","133",4,"damaged stem","Rumex_obtusifolius",1,"","windmills.overhaul.collides",0
"183","2022-06-28","Nell Pates","Knepp","S","X","133",4,"White clover","Trifolium_repens",3,"","windmills.overhaul.collides",0
"188","2022-06-28","Nell Pates","Knepp","S","X","333",1,"Goat willow","Salix_caprea",0,"overhang - 90","geek.lizards.soup",0
"189","2022-06-28","Nell Pates","Knepp","S","X","333",1,"Rush 1","Juncus_effusus",5,"","geek.lizards.soup",0
"190","2022-06-28","Nell Pates","Knepp","S","X","333",1,"Rush 2","Juncus_inflexus",5,"","geek.lizards.soup",0
"191","2022-06-28","Nell Pates","Knepp","S","X","333",1,"grass","Agrostis_stolonifera",85,"","geek.lizards.soup",0
"192","2022-06-28","Nell Pates","Knepp","S","X","333",1,"Fleabane","Pulicaria_dysenterica",12,"","geek.lizards.soup",0
"193","2022-06-28","Nell Pates","Knepp","S","X","333",1,"senesced grass","Agrostis_stolonifera",20,"senesced","geek.lizards.soup",0
"196","2022-06-28","Nell Pates","Knepp","S","X","333",1,"Goat willow sapling","Salix_caprea",10,"sapling","geek.lizards.soup",0
"197","2022-06-28","Nell Pates","Knepp","S","X","333",1,"Tiny, just leaves","Lotus_pendunculatus",2,"","geek.lizards.soup",0
"198","2022-06-28","Nell Pates","Knepp","S","X","333",2,"Goat willow","Salix_caprea",0,"overhang - 90","geek.lizards.soup",0
"199","2022-06-28","Nell Pates","Knepp","S","X","333",2,"grass","Agrostis_stolonifera",90,"","geek.lizards.soup",0
"200","2022-06-28","Nell Pates","Knepp","S","X","333",2,"Fleabane","Pulicaria_dysenterica",25,"","geek.lizards.soup",0
"201","2022-06-28","Nell Pates","Knepp","S","X","333",2,"Tiny, just leaves","Lotus_pendunculatus",2,"","geek.lizards.soup",0
"202","2022-06-28","Nell Pates","Knepp","S","X","333",2,"Goat willow sapling","Salix_caprea",10,"sapling","geek.lizards.soup",0
"203","2022-06-28","Nell Pates","Knepp","S","X","333",2,"Rumex sp?","Rumex_sanguineus",3,"","geek.lizards.soup",0
"204","2022-06-28","Nell Pates","Knepp","S","X","333",3,"Goat willow","Salix_caprea",0,"overhang - 90","geek.lizards.soup",0
"205","2022-06-28","Nell Pates","Knepp","S","X","333",3,"Rush 1","Juncus_effusus",15,"","geek.lizards.soup",0
"206","2022-06-28","Nell Pates","Knepp","S","X","333",3,"Rush 2","Juncus_inflexus",15,"","geek.lizards.soup",0
"207","2022-06-28","Nell Pates","Knepp","S","X","333",3,"Fleabane","Pulicaria_dysenterica",30,"","geek.lizards.soup",0
"208","2022-06-28","Nell Pates","Knepp","S","X","333",3,"Tall grass","Agrostis_stolonifera",15,"","geek.lizards.soup",0
"209","2022-06-28","Nell Pates","Knepp","S","X","333",3,"senesced grass","Agrostis_stolonifera",40,"senesced","geek.lizards.soup",0
"211","2022-06-28","Nell Pates","Knepp","S","X","333",3,"Goat willow sapling","Salix_caprea",20,"sapling","geek.lizards.soup",0
"212","2022-06-28","Nell Pates","Knepp","S","X","333",3,"Just leaves","Lotus_pendunculatus",5,"","geek.lizards.soup",0
"213","2022-06-28","Nell Pates","Knepp","S","X","333",4,"Goat willow","Salix_caprea",0,"overhang - 90","geek.lizards.soup",0
"214","2022-06-28","Nell Pates","Knepp","S","X","333",4,"Rush 1","Juncus_effusus",2.5,"","geek.lizards.soup",0
"215","2022-06-28","Nell Pates","Knepp","S","X","333",4,"Rush 2","Juncus_inflexus",2.5,"","geek.lizards.soup",0
"216","2022-06-28","Nell Pates","Knepp","S","X","333",4,"Tall grass","Agrostis_stolonifera",62,"","geek.lizards.soup",0
"217","2022-06-28","Nell Pates","Knepp","S","X","333",4,"Fleabane","Pulicaria_dysenterica",20,"","geek.lizards.soup",0
"218","2022-06-28","Nell Pates","Knepp","S","X","333",4,"Just leaves","Lotus_pendunculatus",5,"","geek.lizards.soup",0
"219","2022-06-28","Nell Pates","Knepp","S","X","333",4,"Triplet leaves","Trifolium_dubium",2,"","geek.lizards.soup",0
"222","2022-06-28","Nell Pates","Knepp","S","X","333",4,"Goat willow sapling","Salix_caprea",10,"sapling","geek.lizards.soup",0
"247","2022-06-30","Nell Pates","Knepp","M","0","333",4,"tiny sapling (Carpinus betulus?)","Carpinus_betulus",0.1,"sapling","mystified.hedgehog.bandage",0
"248","2022-06-30","Nell Pates","Knepp","M","0","122",1,"Grass 1 (Hordeum murinum)","Hordeum_secalinum",40,"","rival.breached.stowing",0
"249","2022-06-30","Nell Pates","Knepp","M","0","122",1,"Grass 2 (Holcus lanatus?)","Holcus_lanatus",30,"","rival.breached.stowing",0
"250","2022-06-30","Nell Pates","Knepp","M","0","122",1,"Grass 3 (Poa trivialis?)","Agrostis_stolonifera",5,"","rival.breached.stowing",0
"251","2022-06-30","Nell Pates","Knepp","M","0","122",1,"Grass 4 (Timothy?)","Phleum_pratense",2,"","rival.breached.stowing",0
"253","2022-06-30","Nell Pates","Knepp","M","0","122",2,"Grass 1 (Hordeum murinum)","Hordeum_secalinum",30,"","rival.breached.stowing",0
"254","2022-06-30","Nell Pates","Knepp","M","0","122",2,"Grass 2 (Holcus lanatus?)","Holcus_lanatus",40,"","rival.breached.stowing",0
"255","2022-06-30","Nell Pates","Knepp","M","0","122",2,"Grass 5 (Poa trivialis?)","Agrostis_capillaris",2,"","rival.breached.stowing",0
"257","2022-06-30","Nell Pates","Knepp","M","0","122",2,"Grass 3 (Poa trivialis?)","Agrostis_stolonifera",1,"","rival.breached.stowing",0
"258","2022-06-30","Nell Pates","Knepp","M","0","122",3,"Grass 1 (Hordeum murinum)","Hordeum_secalinum",40,"","rival.breached.stowing",0
"259","2022-06-30","Nell Pates","Knepp","M","0","122",3,"Grass 2 (Holcus lanatus?)","Holcus_lanatus",50,"","rival.breached.stowing",0
"260","2022-06-30","Nell Pates","Knepp","M","0","122",3,"Grass 3 (Poa trivialis?)","Agrostis_stolonifera",1,"","rival.breached.stowing",0
"261","2022-06-30","Nell Pates","Knepp","M","0","122",3,"Grass 5 (Poa trivialis?)","Agrostis_capillaris",2,"","rival.breached.stowing",0
"263","2022-06-30","Nell Pates","Knepp","M","0","122",4,"Grass 1 (Hordeum murinum)","Hordeum_secalinum",10,"","rival.breached.stowing",0
"264","2022-06-30","Nell Pates","Knepp","M","0","122",4,"Grass 2 (Holcus lanatus?)","Holcus_lanatus",70,"","rival.breached.stowing",0
"265","2022-06-30","Nell Pates","Knepp","M","0","122",4,"Grass 3 (Poa trivialis?)","Agrostis_stolonifera",3,"","rival.breached.stowing",0
"266","2022-06-30","Nell Pates","Knepp","M","0","122",4,"Grass 5 (Poa trivialis?)","Agrostis_capillaris",2,"","rival.breached.stowing",0
