"","Date","Recorder","Site","Block","Plot","Quadrant","Species","Cover","Notes","survey"
"232","25/6/2024","TM","Boothby","S",111,1,"Epilobium_tetragonum",10,"Square stalked Willowherb","A"
"233","25/6/2024","TM","Boothby","S",111,1,"Sonchus_asper",10,"Spiny sow thistle","A"
"234","25/6/2024","TM","Boothby","S",111,1,"Jacobaea_vulgaris",5,"Ragwort","A"
"236","25/6/2024","TM","Boothby","S",111,2,"Epilobium_hirsutum",35,"","A"
"237","25/6/2024","TM","Boothby","S",111,2,"Epilobium_tetragonum",10,"","A"
"238","25/6/2024","TM","Boothby","S",111,2,"Sonchus_asper",5,"","A"
"239","25/6/2024","TM","Boothby","S",111,2,"Jacobaea_vulgaris",3,"","A"
"240","25/6/2024","TM","Boothby","S",111,2,"Triticum_aestivum",3,"","A"
"241","25/6/2024","TM","Boothby","S",111,2,"Urospermum_picroides",2,"False hawkbit","A"
"243","25/6/2024","TM","Boothby","S",111,3,"Epilobium_hirsutum",70,"","A"
"244","25/6/2024","TM","Boothby","S",111,3,"Sonchus_asper",5,"","A"
"245","25/6/2024","TM","Boothby","S",111,3,"Epilobium_tetragonum",5,"","A"
"247","25/6/2024","TM","Boothby","S",111,4,"Epilobium_hirsutum",20,"","A"
"248","25/6/2024","TM","Boothby","S",111,4,"Epilobium_tetragonum",10,"","A"
"249","25/6/2024","TM","Boothby","S",111,4,"Senecio_vulgaris",1,"Groundsel","A"
"250","25/6/2024","TM","Boothby","S",111,4,"Brassica_rapa",5,"Field mustard","A"
"252","25/6/2024","TM","Boothby","S",113,1,"Anagallis_arvensis",1,"Scarlet pimpernel","A"
"253","25/6/2024","TM","Boothby","S",113,1,"Atriplex_patula",35,"Common orache","A"
"254","25/6/2024","TM","Boothby","S",113,1,"Epilobium_tetragonum",3,"","A"
"255","25/6/2024","TM","Boothby","S",113,1,"Sonchus_asper",2,"","A"
"257","25/6/2024","TM","Boothby","S",113,2,"Atriplex_patula",30,"","A"
"258","25/6/2024","TM","Boothby","S",113,2,"Epilobium_tetragonum",2,"","A"
"259","25/6/2024","TM","Boothby","S",113,2,"Sonchus_asper",2,"","A"
"260","25/6/2024","TM","Boothby","S",113,2,"Helianthemum_apenninum",1,"White rockrose","A"
"261","25/6/2024","TM","Boothby","S",113,2,"Helminthotheca_echiodes",4,"bristly oxtongue","A"
"263","25/6/2024","TM","Boothby","S",113,3,"Epilobium_hirsutum",50,"Giant hairy willowherb","A"
"264","25/6/2024","TM","Boothby","S",113,3,"Atriplex_patula",2,"","A"
"265","25/6/2024","TM","Boothby","S",113,3,"Sonchus_asper",2,"","A"
"266","25/6/2024","TM","Boothby","S",113,3,"Anagallis_arvensis",1,"","A"
"267","25/6/2024","TM","Boothby","S",113,3,"Holcus_lanatus",1,"","A"
"268","25/6/2024","TM","Boothby","S",113,3,"Polygonum_aviculare",1,"Knotgrass","A"
"269","25/6/2024","TM","Boothby","S",113,3,"Epilobium_tetragonum",1,"","A"
"271","25/6/2024","TM","Boothby","S",113,4,"Matricaria_chamomilla",20,"Hungarian chamomile","A"
"272","25/6/2024","TM","Boothby","S",113,4,"Sonchus_asper",2,"","A"
"273","25/6/2024","TM","Boothby","S",113,4,"Atriplex_patula",15,"","A"
"275","25/6/2024","TM","Boothby","S",131,1,"Matricaria_chamomilla",65,"","A"
"276","25/6/2024","TM","Boothby","S",131,1,"Epilobium_hirsutum",20,"","A"
"277","25/6/2024","TM","Boothby","S",131,1,"Polygonum_aviculare",5,"","A"
"278","25/6/2024","TM","Boothby","S",131,1,"Sonchus_asper",2,"","A"
"280","25/6/2024","TM","Boothby","S",131,2,"Matricaria_chamomilla",80,"Hungarian chamomile","A"
"281","25/6/2024","TM","Boothby","S",131,2,"Epilobium_hirsutum",1,"Great Hairy Willowherb","A"
"282","25/6/2024","TM","Boothby","S",131,2,"Polygonum_aviculare",1,"Knotgrass","A"
"283","25/6/2024","TM","Boothby","S",131,2,"Epilobium_parviflorum",1,"Small flower willow herb","A"
"284","25/6/2024","TM","Boothby","S",131,2,"Atriplex_hortensis",1,"Arrach ","A"
"285","25/6/2024","TM","Boothby","S",131,2,"Sonchus_arvensis",2,"Field sowthistle","A"
"287","25/6/2024","TM","Boothby","S",131,3,"Matricaria_chamomilla",40,"","A"
"288","25/6/2024","TM","Boothby","S",131,3,"Jacobaea_vulgaris",1,"","A"
"289","25/6/2024","TM","Boothby","S",131,3,"Epilobium_hirsutum",5,"","A"
"290","25/6/2024","TM","Boothby","S",131,3,"Sonchus_asper",2,"","A"
"291","25/6/2024","TM","Boothby","S",131,3,"Atriplex_patula",55,"","A"
"293","25/6/2024","TM","Boothby","S",131,4,"Matricaria_chamomilla",70,"","A"
"294","25/6/2024","TM","Boothby","S",131,4,"Epilobium_hirsutum",10,"","A"
"295","25/6/2024","TM","Boothby","S",131,4,"Polygonum_aviculare",2,"","A"
"297","25/6/2024","TM","Boothby","S",132,1,"Holcus_lanatus",25,"Yorkshire fog","A"
"298","25/6/2024","TM","Boothby","S",132,1,"Lolium_perenne",20,"Perennial ryegrass","A"
"299","25/6/2024","TM","Boothby","S",132,1,"Bromus_hordeaceus",25,"Soft Brome","A"
"300","25/6/2024","TM","Boothby","S",132,1,"Ranunculus_repens",20,"Creeping buttercup","A"
"301","25/6/2024","TM","Boothby","S",132,1,"Epilobium_coloratum",15,"Purple leaved willowherb","A"
"302","25/6/2024","TM","Boothby","S",132,1,"Epilobium_hirsutum",5,"Great Hairy Willowherb","A"
"303","25/6/2024","TM","Boothby","S",132,1,"Poa_trivialis",1,"Rough Meadow Grass","A"
"305","25/6/2024","TM","Boothby","S",132,2,"Holcus_lanatus",15,"","A"
"306","25/6/2024","TM","Boothby","S",132,2,"Lolium_perenne",20,"","A"
"307","25/6/2024","TM","Boothby","S",132,2,"Bromus_hordeaceus",10,"","A"
"308","25/6/2024","TM","Boothby","S",132,2,"Ranunculus_repens",60,"","A"
"309","25/6/2024","TM","Boothby","S",132,2,"Borago_pygmaea",1,"","A"
"310","25/6/2024","TM","Boothby","S",132,2,"Sonchus_arvensis",2,"","A"
"311","25/6/2024","TM","Boothby","S",132,2,"Epilobium_palustre",5,"","A"
"312","25/6/2024","TM","Boothby","S",132,2,"Poa_trivialis",1,"","A"
"314","25/6/2024","TM","Boothby","S",132,3,"Lolium_perenne",15,"","A"
"315","25/6/2024","TM","Boothby","S",132,3,"Bromus_hordeaceus",10,"","A"
"316","25/6/2024","TM","Boothby","S",132,3,"Ranunculus_repens",20,"","A"
"317","25/6/2024","TM","Boothby","S",132,3,"Epilobium_coloratum",5,"","A"
"318","25/6/2024","TM","Boothby","S",132,3,"Epilobium_hirsutum",15,"","A"
"319","25/6/2024","TM","Boothby","S",132,3,"Senecio_sylvaticus",7,"Heath groundsel","A"
"320","25/6/2024","TM","Boothby","S",132,3,"Lapsana_communis_",2,"","A"
"321","25/6/2024","TM","Boothby","S",132,3,"Fallopia_convolvulus",1,"","A"
"323","25/6/2024","TM","Boothby","S",132,4,"Lolium_perenne",5,"","A"
"324","25/6/2024","TM","Boothby","S",132,4,"Bromus_hordeaceus",1,"","A"
"325","25/6/2024","TM","Boothby","S",132,4,"Ranunculus_repens",55,"","A"
"326","25/6/2024","TM","Boothby","S",132,4,"Epilobium_coloratum",4,"","A"
"327","25/6/2024","TM","Boothby","S",132,4,"Epilobium_hirsutum",4,"","A"
"328","25/6/2024","TM","Boothby","S",132,4,"Rapistrum_rugosum",2,"","A"
"329","25/6/2024","TM","Boothby","S",132,4,"Alopecurus_myosuroides",1,"","A"
"331","25/6/2024","TM","Boothby","S",133,1,"Holcus_lanatus",10,"","A"
"332","25/6/2024","TM","Boothby","S",133,1,"Arrhenatherum_elatius",40,"","A"
"333","25/6/2024","TM","Boothby","S",133,1,"Poa_trivialis",10,"","A"
"334","25/6/2024","TM","Boothby","S",133,1,"Urtica_dioica",5,"","A"
"335","25/6/2024","TM","Boothby","S",133,1,"Cirsium_arvense",5,"Field thistle","A"
"336","25/6/2024","TM","Boothby","S",133,1,"Carum_carvi",10,"Carroway","A"
"338","25/6/2024","TM","Boothby","S",133,2,"Elymus_repens",5,"","A"
"339","25/6/2024","TM","Boothby","S",133,2,"Holcus_lanatus",30,"","A"
"340","25/6/2024","TM","Boothby","S",133,2,"Arrhenatherum_elatius",20,"","A"
"341","25/6/2024","TM","Boothby","S",133,2,"Poa_trivialis",10,"","A"
"342","25/6/2024","TM","Boothby","S",133,2,"Rumex_obtusifolius",10,"","A"
"344","25/6/2024","TM","Boothby","S",133,3,"Holcus_lanatus",10,"","A"
"345","25/6/2024","TM","Boothby","S",133,3,"Arrhenatherum_elatius",45,"","A"
"346","25/6/2024","TM","Boothby","S",133,3,"Poa_trivialis",5,"","A"
"347","25/6/2024","TM","Boothby","S",133,3,"Urtica_dioica",2,"","A"
"348","25/6/2024","TM","Boothby","S",133,3,"Carum_carvi",5,"","A"
"349","25/6/2024","TM","Boothby","S",133,3,"Rumex_obtusifolius",2,"","A"
"350","25/6/2024","TM","Boothby","S",133,3,"Rubus_pruinosus",2,"","A"
"352","25/6/2024","TM","Boothby","S",133,4,"Holcus_lanatus",30,"","A"
"353","25/6/2024","TM","Boothby","S",133,4,"Arrhenatherum_elatius",30,"","A"
"354","25/6/2024","TM","Boothby","S",133,4,"Carum_carvi",10,"","A"
"355","25/6/2024","TM","Boothby","S",133,4,"Filipendula_ulmaria",5,"","A"
"357","25/6/2024","BB","Boothby","S",311,1,"Epilobium_ciliatum",50,"","A"
"358","25/6/2024","BB","Boothby","S",311,1,"Epilobium_parviflorum",30,"","A"
"359","25/6/2024","BB","Boothby","S",311,1,"Jacobaea_vulgaris",3,"","A"
"361","25/6/2024","BB","Boothby","S",311,2,"Epilobium_ciliatum",60,"","A"
"362","25/6/2024","BB","Boothby","S",311,2,"Epilobium_parviflorum",5,"","A"
"363","25/6/2024","BB","Boothby","S",311,2,"Epilobium_hirsutum",10,"","A"
"364","25/6/2024","BB","Boothby","S",311,2,"Cirsium_tuberosum",5,"? Check Sample 2","A"
"366","25/6/2024","BB","Boothby","S",311,3,"Epilobium_ciliatum",45,"","A"
"367","25/6/2024","BB","Boothby","S",311,3,"Epilobium_parviflorum",3,"","A"
