Date,Recorder,Site,Block,Plot,Quadrant,Species,Cover,Notes,survey
24/6/2024,TM,Boothby,NW,121,2,Bare Ground,50,,A
24/6/2024,TM,Boothby,NW,121,3,Alopecurus myosuroides,60,,A
24/6/2024,TM,Boothby,NW,121,3,Bare Ground,40,,A
24/6/2024,TM,Boothby,NW,121,4,Alopecurus myosuroides,55,,A
24/6/2024,TM,Boothby,NW,121,4,Bare Ground,45,,A
24/6/2024,TM,Boothby,NW,122,1,Atriplex patula,60,Common orache,A
24/6/2024,TM,Boothby,NW,122,1,Persicaria lapathifolia,2,Pale Knotweed,A
24/6/2024,TM,Boothby,NW,122,1,Jacobaea vulgaris,2,Ragwort,A
24/6/2024,TM,Boothby,NW,122,1,Bromus hordeaceus,1,Soft Brome,A
24/6/2024,TM,Boothby,NW,122,1,Bare Ground,40,,A
24/6/2024,TM,Boothby,NW,122,2,Atriplex patula,40,,A
24/6/2024,TM,Boothby,NW,122,2,Persicaria lapathifolia,10,,A
24/6/2024,TM,Boothby,NW,122,2,Jacobaea vulgaris,2,,A
24/6/2024,TM,Boothby,NW,122,2,Bromus hordeaceus,10,,A
24/6/2024,TM,Boothby,NW,122,2,Bare Ground,40,,A
24/6/2024,TM,Boothby,NW,122,3,Atriplex patula,50,,A
24/6/2024,TM,Boothby,NW,122,3,Persicaria lapathifolia,5,,A
24/6/2024,TM,Boothby,NW,122,3,Bare Ground,50,,A
24/6/2024,TM,Boothby,NW,122,4,Atriplex patula,20,,A
24/6/2024,TM,Boothby,NW,122,4,Vicia faba,2,,A
24/6/2024,TM,Boothby,NW,122,4,Jacobaea vulgaris,5,,A
24/6/2024,TM,Boothby,NW,122,4,Persicaria lapathifolia,1,,A
24/6/2024,TM,Boothby,NW,122,4,Bare Ground,75,,A
24/6/2024,TM,Boothby,NW,123,1,Bromus hordeaceus,90,Soft Brome,A
24/6/2024,TM,Boothby,NW,123,1,Epilobium parviflorum,2,Small flower willow herb,A
24/6/2024,TM,Boothby,NW,123,1,Sonchus asper,2,Spiny sow thistle,A
24/6/2024,TM,Boothby,NW,123,1,Triticum aestivum,1,Wheat,A
24/6/2024,TM,Boothby,NW,123,1,Bare Ground,5,,A
24/6/2024,TM,Boothby,NW,123,2,Triticum aestivum,1,,A
24/6/2024,TM,Boothby,NW,123,2,Bromus hordeaceus,90,,A
24/6/2024,TM,Boothby,NW,123,2,Epilobium parviflorum,1,,A
24/6/2024,TM,Boothby,NW,123,2,Bare Ground,10,,A
24/6/2024,TM,Boothby,NW,123,3,Bromus hordeaceus,90,,A
24/6/2024,TM,Boothby,NW,123,3,Poa trivialis,1,Rough Meadow Grass,A
24/6/2024,TM,Boothby,NW,123,3,Epilobium parviflorum,1,,A
24/6/2024,TM,Boothby,NW,123,3,Bare Ground,10,,A
24/6/2024,TM,Boothby,NW,123,4,Bromus hordeaceus,90,,A
24/6/2024,TM,Boothby,NW,123,4,Poa trivialis,1,,A
24/6/2024,TM,Boothby,NW,123,4,Veronica persica,1,Field speedwell,A
24/6/2024,TM,Boothby,NW,123,4,Agrostis capillaris,5,Common bent,A
24/6/2024,TM,Boothby,NW,123,4,Bare Ground,5,,A
24/6/2024,TM,Boothby,NW,132,1,Pimpinella saxifraga,2,Burnet Saxifrage,A
24/6/2024,TM,Boothby,NW,132,1,Alopecurus myosuroides,75,Black Twitch,A
24/6/2024,TM,Boothby,NW,132,1,Epilobium coloratum,2,Purple leaved willowherb,A
24/6/2024,TM,Boothby,NW,132,1,Bare Ground,25,,A
24/6/2024,TM,Boothby,NW,132,2,Sonchus asper,3,Spiny sow thistle,A
24/6/2024,TM,Boothby,NW,132,2,Epilobium coloratum,5,,A
24/6/2024,TM,Boothby,NW,132,2,Alopecurus myosuroides,75,,A
24/6/2024,TM,Boothby,NW,132,2,Bare Ground,20,,A
24/6/2024,TM,Boothby,NW,132,3,Trifolium hybridum,1,Alsike Clover,A
24/6/2024,TM,Boothby,NW,132,3,Alopecurus myosuroides,1,Black Twitch,A
24/6/2024,TM,Boothby,NW,132,3,Sonchus arvensis,1,Field sow thistle,A
24/6/2024,TM,Boothby,NW,132,3,Triticum aestivum,3,Wheat,A
24/6/2024,TM,Boothby,NW,132,3,Bromus hordeaceus,95,Soft Brome,A
24/6/2024,TM,Boothby,NW,132,3,Epilobium coloratum,2,Purple leaved willowherb,A
24/6/2024,TM,Boothby,NW,132,4,Trifolium hybridum,5,,A
24/6/2024,TM,Boothby,NW,132,4,Triticum aestivum,10,,A
24/6/2024,TM,Boothby,NW,132,4,Pimpinella saxifraga,2,,A
24/6/2024,TM,Boothby,NW,132,4,Alopecurus myosuroides,85,,A
24/6/2024,TM,Boothby,NW,132,4,Epilobium coloratum,2,,A
24/6/2024,BB,Boothby,NW,131,1,Triticum aestivum,25,,A
24/6/2024,BB,Boothby,NW,131,1,Bromus hordeaceus,25,,A
24/6/2024,BB,Boothby,NW,131,1,Jacobaea vulgaris,1,,A
24/6/2024,BB,Boothby,NW,131,1,Epilobium coloratum,1,,A
24/6/2024,BB,Boothby,NW,131,1,Atriplex patula,10,,A
24/6/2024,BB,Boothby,NW,131,1,Alopecurus myosuroides,15,,A
24/6/2024,BB,Boothby,NW,131,1,Bare Ground,25,,A
24/6/2024,BB,Boothby,NW,131,2,Vicia faba,4,,A
24/6/2024,BB,Boothby,NW,131,2,Bromus hordeaceus,35,,A
24/6/2024,BB,Boothby,NW,131,2,Atriplex patula,5,,A
24/6/2024,BB,Boothby,NW,131,2,Triticum aestivum,10,,A
24/6/2024,BB,Boothby,NW,131,2,Alopecurus myosuroides,10,,A
24/6/2024,BB,Boothby,NW,131,2,Bare Ground,40,,A
24/6/2024,BB,Boothby,NW,131,3,Vicia faba,5,,A
24/6/2024,BB,Boothby,NW,131,3,Epilobium coloratum,10,,A
24/6/2024,BB,Boothby,NW,131,3,Triticum aestivum,10,,A
24/6/2024,BB,Boothby,NW,131,3,Atriplex patula,5,,A
24/6/2024,BB,Boothby,NW,131,3,Alopecurus myosuroides,35,,A
24/6/2024,BB,Boothby,NW,131,3,Sonchus asper,2,,A
24/6/2024,BB,Boothby,NW,131,3,Bare Ground,35,,A
24/6/2024,BB,Boothby,NW,131,4,Triticum aestivum,15,,A
24/6/2024,BB,Boothby,NW,131,4,Bromus hordeaceus,10,,A
24/6/2024,BB,Boothby,NW,131,4,Sonchus asper,3,,A
24/6/2024,BB,Boothby,NW,131,4,Epilobium tetragonum,15,,A
24/6/2024,BB,Boothby,NW,131,4,Alopecurus myosuroides,5,,A
24/6/2024,BB,Boothby,NW,131,4,Bare Ground,55,,A
24/6/2024,BB,Boothby,NW,133,1,Centaurea nigra,25,,A
24/6/2024,BB,Boothby,NW,133,1,Prunus spinosa,5,,A
24/6/2024,BB,Boothby,NW,133,1,Leucanthemum vulgare,10,,A
24/6/2024,BB,Boothby,NW,133,1,Succisa pratensis,20,,A
24/6/2024,BB,Boothby,NW,133,1,Rubus fruticosus,5,,A
24/6/2024,BB,Boothby,NW,133,1,Geranium palustre,2,,A
24/6/2024,BB,Boothby,NW,133,1,Scandix pecten-veneris,1,,A
24/6/2024,BB,Boothby,NW,133,1,Helminthotheca echiodes,1,,A
24/6/2024,BB,Boothby,NW,133,2,Rhamnus saxatilis ,25,Rock buckthorn,A
24/6/2024,BB,Boothby,NW,133,2,Holcus lanatus,15,y fog,A
24/6/2024,BB,Boothby,NW,133,2,Scandix pecten-veneris,5,Ladys Venus Combe,A
24/6/2024,BB,Boothby,NW,133,2,Centaurea nigra,30,Knappweed,A
24/6/2024,BB,Boothby,NW,133,2,Poa pratensis,15,Smooth Bluegrass,A
24/6/2024,BB,Boothby,NW,133,2,Succisa pratensis,20,Devils bit scabious,A
24/6/2024,BB,Boothby,NW,133,2,Rubus fruticosus,15,,A
24/6/2024,BB,Boothby,NW,133,3,Leucanthemum vulgare,20,Oxeye daisy,A
24/6/2024,BB,Boothby,NW,133,3,Centaurea nigra,15,,A
24/6/2024,BB,Boothby,NW,133,3,Prunus spinosa,30,,A
24/6/2024,BB,Boothby,NW,133,3,Succisa pratensis,10,,A
24/6/2024,BB,Boothby,NW,133,3,Geranium palustre,5,,A
24/6/2024,BB,Boothby,NW,133,3,Lolium perenne,10,,A
24/6/2024,BB,Boothby,NW,133,3,Poa pratensis,5,,A
24/6/2024,BB,Boothby,NW,133,3,Scandix pecten-veneris,1,,A
24/6/2024,BB,Boothby,NW,133,3,Rubus fruticosus,10,,A
24/6/2024,BB,Boothby,NW,133,3,Packera aurea,2,Golden Ragowort,A
24/6/2024,BB,Boothby,NW,133,4,Prunus spinosa,40,,A
24/6/2024,BB,Boothby,NW,133,4,Leucanthemum vulgare,20,,A
24/6/2024,BB,Boothby,NW,133,4,Holcus lanatus,10,,A
24/6/2024,BB,Boothby,NW,133,4,Lolium perenne,10,,A
24/6/2024,BB,Boothby,NW,133,4,Centaurea nigra,15,,A
24/6/2024,BB,Boothby,NW,133,4,Phleum pratense,5,,A
24/6/2024,BB,Boothby,NW,133,4,Lolium pratense,1,,A
24/6/2024,BB,Boothby,NW,133,4,Lolium arundinaceum,1,,A
24/6/2024,BB,Boothby,NW,331,1,Anthriscus sylvestris,3,Cow parsley,A
24/6/2024,BB,Boothby,NW,331,1,Bare ground,97,,A
24/6/2024,BB,Boothby,NW,331,2,Anthriscus sylvestris,2,,A
24/6/2024,BB,Boothby,NW,331,2,Crataegus rhipidophylla,4,,A
24/6/2024,BB,Boothby,NW,331,2,Bare ground,96,,A
24/6/2024,BB,Boothby,NW,331,3,Anthriscus sylvestris,2,,A
24/6/2024,BB,Boothby,NW,331,3,Acer campestre,1,,A
24/6/2024,BB,Boothby,NW,331,3,Bare ground,97,,A
24/6/2024,BB,Boothby,NW,331,4,Anthriscus sylvestris,5,,A
24/6/2024,BB,Boothby,NW,331,4,Bare ground,95,,A
24/6/2024,BB,Boothby,NW,333,1,Helminthotheca echiodes,20,,A
24/6/2024,BB,Boothby,NW,333,1,Lolium perenne,15,,A
24/6/2024,BB,Boothby,NW,333,1,Holcus lanatus,10,,A
24/6/2024,BB,Boothby,NW,333,1,Geranium lucidum,5,,A
24/6/2024,BB,Boothby,NW,333,1,Geranium dissectum,10,,A
24/6/2024,BB,Boothby,NW,333,1,Trifolium repens,5,,A
24/6/2024,BB,Boothby,NW,333,1,Cirsium discolor,5,field thistle,A
24/6/2024,BB,Boothby,NW,333,1,Epilobium parviflorum,5,,A
24/6/2024,BB,Boothby,NW,333,1,Bare ground,30,,A
24/6/2024,BB,Boothby,NW,333,2,Holcus lanatus,35,,A
24/6/2024,BB,Boothby,NW,333,2,Lolium perenne,30,,A
24/6/2024,BB,Boothby,NW,333,2,Geranium dissectum,15,,A
24/6/2024,BB,Boothby,NW,333,2,Epilobium parviflorum,5,,A
24/6/2024,BB,Boothby,NW,333,2,Helminthotheca echiodes,20,Bristly Oxtongue,A
24/6/2024,BB,Boothby,NW,333,2,Bare ground,10,,A
24/6/2024,BB,Boothby,NW,333,3,Lolium perenne,15,,A
24/6/2024,BB,Boothby,NW,333,3,Cirsium discolor,5,,A
24/6/2024,BB,Boothby,NW,333,3,Alopecurus myosuroides,15,,A
24/6/2024,BB,Boothby,NW,333,3,Geranium dissectum,5,,A
24/6/2024,BB,Boothby,NW,333,3,Epilobium parviflorum,5,,A
24/6/2024,BB,Boothby,NW,333,3,Bare ground,55,,A
24/6/2024,BB,Boothby,NW,333,4,Lolium perenne,25,,A
24/6/2024,BB,Boothby,NW,333,4,Cirsium discolor,5,,A
24/6/2024,BB,Boothby,NW,333,4,Alopecurus myosuroides,20,,A
24/6/2024,BB,Boothby,NW,333,4,Geranium dissectum,10,,A
24/6/2024,BB,Boothby,NW,333,4,Epilobium parviflorum,5,,A
24/6/2024,BB,Boothby,NW,333,4,Bare ground,5,,A
24/6/2024,BB,Boothby,NW,333,4,Vicia faba,30,,A
24/6/2024,BB,Boothby,NW,332,1,Lolium perenne,30,,A
24/6/2024,BB,Boothby,NW,332,1,Phleum pratense,10,,A
24/6/2024,BB,Boothby,NW,332,1,Epilobium parviflorum,15,,A
24/6/2024,BB,Boothby,NW,332,1,Sonchus asper,10,,A
24/6/2024,BB,Boothby,NW,332,1,Vicia faba,5,,A
24/6/2024,BB,Boothby,NW,332,1,Trifolium pratense,5,,A
24/6/2024,BB,Boothby,NW,332,1,Bare ground,25,,A
24/6/2024,BB,Boothby,NW,332,2,Lolium perenne,45,,A
24/6/2024,BB,Boothby,NW,332,2,Phleum pratense,10,,A
24/6/2024,BB,Boothby,NW,332,2,Helminthotheca echiodes,5,,A
24/6/2024,BB,Boothby,NW,332,2,Sonchus asper,5,,A
24/6/2024,BB,Boothby,NW,332,2,Epilobium parviflorum,5,,A
24/6/2024,BB,Boothby,NW,332,2,Bare ground,30,,A
24/6/2024,BB,Boothby,NW,332,3,Taraxacum campylodes,5,,A
24/6/2024,BB,Boothby,NW,332,3,Lolium pratense,5,,A
24/6/2024,BB,Boothby,NW,332,3,Lolium perenne,20,,A
24/6/2024,BB,Boothby,NW,332,3,Phleum pratense,10,,A
24/6/2024,BB,Boothby,NW,332,3,Epilobium parviflorum,5,,A
24/6/2024,BB,Boothby,NW,332,3,Dactylis glomerata,1,,A
24/6/2024,BB,Boothby,NW,332,3,Bare ground,60,,A
24/6/2024,BB,Boothby,NW,332,4,Helminthotheca echiodes,10,,A
24/6/2024,BB,Boothby,NW,332,4,Trifolium pratense,10,,A
24/6/2024,BB,Boothby,NW,332,4,Lolium pratense,5,,A
24/6/2024,BB,Boothby,NW,332,4,Phleum pratense,10,,A
24/6/2024,BB,Boothby,NW,332,4,Lolium perenne,25,,A
24/6/2024,BB,Boothby,NW,332,4,Bare ground,50,,A
25/6/2024,TM,Boothby,S,111,1,Epilobium hirsutum,25,Great Hairy Willowherb,A
25/6/2024,TM,Boothby,S,111,1,Alopecurus myosuroides,15,Black Twitch,A
25/6/2024,TM,Boothby,S,111,1,Epilobium tetragonum,10,Square stalked Willowherb,A
25/6/2024,TM,Boothby,S,111,1,Sonchus asper,10,Spiny sow thistle,A
25/6/2024,TM,Boothby,S,111,1,Jacobaea vulgaris,5,Ragwort,A
25/6/2024,TM,Boothby,S,111,1,Bare ground,45,,A
25/6/2024,TM,Boothby,S,111,2,Epilobium hirsutum,35,,A
25/6/2024,TM,Boothby,S,111,2,Epilobium tetragonum,10,,A
25/6/2024,TM,Boothby,S,111,2,Sonchus asper,5,,A
25/6/2024,TM,Boothby,S,111,2,Jacobaea vulgaris,3,,A
25/6/2024,TM,Boothby,S,111,2,Triticum aestivum,3,,A
25/6/2024,TM,Boothby,S,111,2,Urospermum picroides,2,False hawkbit,A
25/6/2024,TM,Boothby,S,111,2,Bare ground,45,,A
25/6/2024,TM,Boothby,S,111,3,Epilobium hirsutum,70,,A
25/6/2024,TM,Boothby,S,111,3,Sonchus asper,5,,A
25/6/2024,TM,Boothby,S,111,3,Epilobium tetragonum,5,,A
25/6/2024,TM,Boothby,S,111,3,Bare ground,30,,A
25/6/2024,TM,Boothby,S,111,4,Epilobium hirsutum,20,,A
25/6/2024,TM,Boothby,S,111,4,Epilobium tetragonum,10,,A
25/6/2024,TM,Boothby,S,111,4,Senecio vulgaris,1,Groundsel,A
25/6/2024,TM,Boothby,S,111,4,Brassica rapa,5,Field mustard,A
25/6/2024,TM,Boothby,S,111,4,Bare ground,80,,A
25/6/2024,TM,Boothby,S,113,1,Anagallis arvensis,1,Scarlet pimpernel,A
25/6/2024,TM,Boothby,S,113,1,Atriplex patula,35,Common orache,A
25/6/2024,TM,Boothby,S,113,1,Epilobium tetragonum,3,,A
25/6/2024,TM,Boothby,S,113,1,Sonchus asper,2,,A
25/6/2024,TM,Boothby,S,113,1,Bare ground,70,,A
25/6/2024,TM,Boothby,S,113,2,Atriplex patula,30,,A
25/6/2024,TM,Boothby,S,113,2,Epilobium tetragonum,2,,A
25/6/2024,TM,Boothby,S,113,2,Sonchus asper,2,,A
25/6/2024,TM,Boothby,S,113,2,Helianthemum apenninum,1,White rockrose,A
25/6/2024,TM,Boothby,S,113,2,Helminthotheca echiodes,4,bristly oxtongue,A
25/6/2024,TM,Boothby,S,113,2,Bare ground,65,,A
25/6/2024,TM,Boothby,S,113,3,Epilobium hirsutum,50,Giant hairy willowherb,A
25/6/2024,TM,Boothby,S,113,3,Atriplex patula,2,,A
25/6/2024,TM,Boothby,S,113,3,Sonchus asper,2,,A
25/6/2024,TM,Boothby,S,113,3,Anagallis arvensis,1,,A
25/6/2024,TM,Boothby,S,113,3,Holcus lanatus,1,,A
25/6/2024,TM,Boothby,S,113,3,Polygonum aviculare,1,Knotgrass,A
25/6/2024,TM,Boothby,S,113,3,Epilobium tetragonum,1,,A
25/6/2024,TM,Boothby,S,113,3,Bare ground,50,,A
25/6/2024,TM,Boothby,S,113,4,Matricaria chamomilla,20,Hungarian chamomile,A
25/6/2024,TM,Boothby,S,113,4,Sonchus asper,2,,A
25/6/2024,TM,Boothby,S,113,4,Atriplex patula,15,,A
25/6/2024,TM,Boothby,S,113,4,Bare ground,70,,A
25/6/2024,TM,Boothby,S,131,1,Matricaria chamomilla,65,,A
25/6/2024,TM,Boothby,S,131,1,Epilobium hirsutum,20,,A
25/6/2024,TM,Boothby,S,131,1,Polygonum aviculare,5,,A
25/6/2024,TM,Boothby,S,131,1,Sonchus asper,2,,A
25/6/2024,TM,Boothby,S,131,1,Bare ground,15,,A
25/6/2024,TM,Boothby,S,131,2,Matricaria chamomilla,80,Hungarian chamomile,A
25/6/2024,TM,Boothby,S,131,2,Epilobium hirsutum,1,Great Hairy Willowherb,A
25/6/2024,TM,Boothby,S,131,2,Polygonum aviculare,1,Knotgrass,A
25/6/2024,TM,Boothby,S,131,2,Epilobium parviflorum,1,Small flower willow herb,A
25/6/2024,TM,Boothby,S,131,2,Atriplex hortensis,1,Arrach ,A
25/6/2024,TM,Boothby,S,131,2,Sonchus arvensis,2,Field sowthistle,A
25/6/2024,TM,Boothby,S,131,2,Bare ground,20,,A
25/6/2024,TM,Boothby,S,131,3,Matricaria chamomilla,40,,A
25/6/2024,TM,Boothby,S,131,3,Jacobaea vulgaris,1,,A
25/6/2024,TM,Boothby,S,131,3,Epilobium hirsutum,5,,A
25/6/2024,TM,Boothby,S,131,3,Sonchus asper,2,,A
25/6/2024,TM,Boothby,S,131,3,Atriplex patula,55,,A
25/6/2024,TM,Boothby,S,131,3,Bare ground,1,,A
25/6/2024,TM,Boothby,S,131,4,Matricaria chamomilla,70,,A
25/6/2024,TM,Boothby,S,131,4,Epilobium hirsutum,10,,A
25/6/2024,TM,Boothby,S,131,4,Polygonum aviculare,2,,A
25/6/2024,TM,Boothby,S,131,4,Bare ground,25,,A
25/6/2024,TM,Boothby,S,132,1,Holcus lanatus,25,Yorkshire fog,A
25/6/2024,TM,Boothby,S,132,1,Lolium perenne,20,Perennial ryegrass,A
25/6/2024,TM,Boothby,S,132,1,Bromus hordeaceus,25,Soft Brome,A
25/6/2024,TM,Boothby,S,132,1,Ranunculus repens,20,Creeping buttercup,A
25/6/2024,TM,Boothby,S,132,1,Epilobium coloratum,15,Purple leaved willowherb,A
25/6/2024,TM,Boothby,S,132,1,Epilobium hirsutum,5,Great Hairy Willowherb,A
25/6/2024,TM,Boothby,S,132,1,Poa trivialis,1,Rough Meadow Grass,A
25/6/2024,TM,Boothby,S,132,1,Bare ground,5,,A
25/6/2024,TM,Boothby,S,132,2,Holcus lanatus,15,,A
25/6/2024,TM,Boothby,S,132,2,Lolium perenne,20,,A
25/6/2024,TM,Boothby,S,132,2,Bromus hordeaceus,10,,A
25/6/2024,TM,Boothby,S,132,2,Ranunculus repens,60,,A
25/6/2024,TM,Boothby,S,132,2,Borago pygmaea,1,,A
25/6/2024,TM,Boothby,S,132,2,Sonchus arvensis,2,,A
25/6/2024,TM,Boothby,S,132,2,Epilobium palustre,5,,A
25/6/2024,TM,Boothby,S,132,2,Poa trivialis,1,,A
25/6/2024,TM,Boothby,S,132,2,Bare ground,10,,A
25/6/2024,TM,Boothby,S,132,3,Lolium perenne,15,,A
25/6/2024,TM,Boothby,S,132,3,Bromus hordeaceus,10,,A
25/6/2024,TM,Boothby,S,132,3,Ranunculus repens,20,,A
25/6/2024,TM,Boothby,S,132,3,Epilobium coloratum,5,,A
25/6/2024,TM,Boothby,S,132,3,Epilobium hirsutum,15,,A
25/6/2024,TM,Boothby,S,132,3,Senecio sylvaticus,7,Heath groundsel,A
25/6/2024,TM,Boothby,S,132,3,Lapsana communis ,2,,A
25/6/2024,TM,Boothby,S,132,3,Fallopia convolvulus,1,,A
25/6/2024,TM,Boothby,S,132,3,Bare ground,30,,A
25/6/2024,TM,Boothby,S,132,4,Lolium perenne,5,,A
25/6/2024,TM,Boothby,S,132,4,Bromus hordeaceus,1,,A
25/6/2024,TM,Boothby,S,132,4,Ranunculus repens,55,,A
25/6/2024,TM,Boothby,S,132,4,Epilobium coloratum,4,,A
25/6/2024,TM,Boothby,S,132,4,Epilobium hirsutum,4,,A
25/6/2024,TM,Boothby,S,132,4,Rapistrum rugosum,2,,A
25/6/2024,TM,Boothby,S,132,4,Alopecurus myosuroides,1,,A
25/6/2024,TM,Boothby,S,132,4,Bare ground,30,,A
25/6/2024,TM,Boothby,S,133,1,Holcus lanatus,10,,A
25/6/2024,TM,Boothby,S,133,1,Arrhenatherum elatius,40,,A
25/6/2024,TM,Boothby,S,133,1,Poa trivialis,10,,A
25/6/2024,TM,Boothby,S,133,1,Urtica dioica,5,,A
25/6/2024,TM,Boothby,S,133,1,Cirsium arvense,5,Field thistle,A
25/6/2024,TM,Boothby,S,133,1,Carum carvi,10,Carroway,A
25/6/2024,TM,Boothby,S,133,1,Bare ground,20,,A
25/6/2024,TM,Boothby,S,133,2,Elymus repens,5,,A
25/6/2024,TM,Boothby,S,133,2,Holcus lanatus,30,,A
25/6/2024,TM,Boothby,S,133,2,Arrhenatherum elatius,20,,A
25/6/2024,TM,Boothby,S,133,2,Poa trivialis,10,,A
25/6/2024,TM,Boothby,S,133,2,Rumex obtusifolius,10,,A
25/6/2024,TM,Boothby,S,133,2,Bare ground,30,,A
25/6/2024,TM,Boothby,S,133,3,Holcus lanatus,10,,A
25/6/2024,TM,Boothby,S,133,3,Arrhenatherum elatius,45,,A
25/6/2024,TM,Boothby,S,133,3,Poa trivialis,5,,A
25/6/2024,TM,Boothby,S,133,3,Urtica dioica,2,,A
25/6/2024,TM,Boothby,S,133,3,Carum carvi,5,,A
25/6/2024,TM,Boothby,S,133,3,Rumex obtusifolius,2,,A
25/6/2024,TM,Boothby,S,133,3,Rubus pruinosus,2,,A
25/6/2024,TM,Boothby,S,133,3,Bare ground,30,,A
25/6/2024,TM,Boothby,S,133,4,Holcus lanatus,30,,A
25/6/2024,TM,Boothby,S,133,4,Arrhenatherum elatius,30,,A
25/6/2024,TM,Boothby,S,133,4,Carum carvi,10,,A
25/6/2024,TM,Boothby,S,133,4,Filipendula ulmaria,5,,A
25/6/2024,TM,Boothby,S,133,4,Bare ground,30,,A
25/6/2024,BB,Boothby,S,311,1,Epilobium ciliatum,50,,A
25/6/2024,BB,Boothby,S,311,1,Epilobium parviflorum,30,,A
25/6/2024,BB,Boothby,S,311,1,Jacobaea vulgaris,3,,A
25/6/2024,BB,Boothby,S,311,1,Bare ground,40,,A
25/6/2024,BB,Boothby,S,311,2,Epilobium ciliatum,60,,A
25/6/2024,BB,Boothby,S,311,2,Epilobium parviflorum,5,,A
25/6/2024,BB,Boothby,S,311,2,Epilobium hirsutum,10,,A
25/6/2024,BB,Boothby,S,311,2,Cirsium tuberosum,5,? Check Sample 2,A
25/6/2024,BB,Boothby,S,311,2,Bare ground,45,,A
25/6/2024,BB,Boothby,S,311,3,Epilobium ciliatum,45,,A
25/6/2024,BB,Boothby,S,311,3,Epilobium parviflorum,3,,A
25/6/2024,BB,Boothby,S,311,3,Epilobium hirsutum,20,,A
25/6/2024,BB,Boothby,S,311,3,Bare ground,35,,A
25/6/2024,BB,Boothby,S,311,4,Epilobium ciliatum,40,,A
25/6/2024,BB,Boothby,S,311,4,Epilobium parviflorum,5,,A
