Date,Recorder,Location,Site,Block,Group,Plot,Quadrant,Species (Nell),Species,Cover,Notes,what3words,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,133,1,Grass 1,Agrostis capillaris,50,,windmills.overhaul.collides,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,133,1,senesced grass,senesced grass,20,,windmills.overhaul.collides,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,133,1,dead leaves,dead leaves,2,,windmills.overhaul.collides,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,133,1,senesced Timothy,Alopecurus pratensis,1,,windmills.overhaul.collides,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,133,1,Rumex sp?,Rumex obtusifolius,10,,windmills.overhaul.collides,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,133,1,Grass 2,Poa trivialis,50,,windmills.overhaul.collides,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,133,2,Quercus sp,Quercus robur,0,overhang - 100,windmills.overhaul.collides,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,133,2,Grass 1,Agrostis capillaris,40,,windmills.overhaul.collides,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,133,2,Grass 2,Poa trivialis,40,,,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,133,2,Rumex sp?,Rumex obtusifolius,8,,windmills.overhaul.collides,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,133,2,bare soil,bare soil,10,,windmills.overhaul.collides,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,133,2,dead leaves,dead leaves,5,,windmills.overhaul.collides,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,133,2,sticks,sticks,2,,windmills.overhaul.collides,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,133,3,Quercus sp,Quercus robur,0,overhang - 100,windmills.overhaul.collides,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,133,3,Grass 1,Agrostis capillaris,50,,windmills.overhaul.collides,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,133,3,Grass 2,Poa trivialis,45,,,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,133,3,Rumex sp?,Rumex obtusifolius,5,,windmills.overhaul.collides,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,133,3,sticks,sticks,3,,windmills.overhaul.collides,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,133,3,dead leaves,dead leaves,5,,windmills.overhaul.collides,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,133,3,bare soil,bare soil,2,,windmills.overhaul.collides,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,133,3,White clover,Trifolium repens,2,,windmills.overhaul.collides,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,133,4,Quercus sp,Quercus robur,0,overhang - 100,windmills.overhaul.collides,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,133,4,Grass 1,Agrostis capillaris,40,,windmills.overhaul.collides,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,133,4,Grass 2,Poa trivialis,40,,,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,133,4,senesced Cocksfoot,Dactylis glomerata,1,,windmills.overhaul.collides,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,133,4,damaged stem,Rumex obtusifolius,1,,windmills.overhaul.collides,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,133,4,White clover,Trifolium repens,3,,windmills.overhaul.collides,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,133,4,sticks,sticks,5,,windmills.overhaul.collides,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,133,4,dead leaves,dead leaves,5,,windmills.overhaul.collides,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,133,4,bare soil,bare soil,2,,windmills.overhaul.collides,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,133,4,senesced grass,senesced grass,25,,windmills.overhaul.collides,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,333,1,Goat willow,Salix caprea,0,overhang - 90,geek.lizards.soup,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,333,1,Rush 1,Juncus effusus,5,,geek.lizards.soup,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,333,1,Rush 2,Juncus inflexus,5,,geek.lizards.soup,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,333,1,grass,Agrostis stolonifera,85,,geek.lizards.soup,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,333,1,Fleabane,Pulicaria dysenterica,12,,geek.lizards.soup,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,333,1,senesced grass,Agrostis stolonifera,20,senesced,geek.lizards.soup,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,333,1,bare soil,bare soil,8,,geek.lizards.soup,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,333,1,dead sapling,dead sapling,2,,geek.lizards.soup,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,333,1,Goat willow sapling,Salix caprea,10,sapling,geek.lizards.soup,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,333,1,"Tiny, just leaves",Lotus pendunculatus,2,,geek.lizards.soup,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,333,2,Goat willow,Salix caprea,0,overhang - 90,geek.lizards.soup,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,333,2,grass,Agrostis stolonifera,90,,geek.lizards.soup,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,333,2,Fleabane,Pulicaria dysenterica,25,,geek.lizards.soup,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,333,2,"Tiny, just leaves",Lotus pendunculatus,2,,geek.lizards.soup,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,333,2,Goat willow sapling,Salix caprea,10,sapling,geek.lizards.soup,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,333,2,Rumex sp?,Rumex sanguineus,3,,geek.lizards.soup,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,333,3,Goat willow,Salix caprea,0,overhang - 90,geek.lizards.soup,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,333,3,Rush 1,Juncus effusus,15,,geek.lizards.soup,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,333,3,Rush 2,Juncus inflexus,15,,geek.lizards.soup,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,333,3,Fleabane,Pulicaria dysenterica,30,,geek.lizards.soup,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,333,3,Tall grass,Agrostis stolonifera,15,,geek.lizards.soup,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,333,3,senesced grass,Agrostis stolonifera,40,senesced,geek.lizards.soup,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,333,3,dead sapling,dead sapling,20,,geek.lizards.soup,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,333,3,Goat willow sapling,Salix caprea,20,sapling,geek.lizards.soup,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,333,3,Just leaves,Lotus pendunculatus,5,,geek.lizards.soup,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,333,4,Goat willow,Salix caprea,0,overhang - 90,geek.lizards.soup,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,333,4,Rush 1,Juncus effusus,2.5,,geek.lizards.soup,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,333,4,Rush 2,Juncus inflexus,2.5,,geek.lizards.soup,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,333,4,Tall grass,Agrostis stolonifera,62,,geek.lizards.soup,
2022-06-28,Nell Pates,Knepp,Knepp,S,X,333,4,Fleabane,Pulicaria dysenterica,20,,geek.lizards.soup,
